날짜,초미세먼지,미세먼지,아황가스,오존,이산화질소,일산화탄소
01일,33,65,0.004,0.024,0.031,0.6
02일,39,107,0.008,0.026,0.065,0.7
03일,23,56,0.004,0.024,0.048,0.6
04일,36,65,0.008,0.038,0.061,0.7
05일,38,66,0.008,0.044,0.043,0.7
06일,24,50,0.006,0.041,0.026,0.5
07일,17,37,0.004,0.03,0.041,0.5
08일,20,48,0.005,0.039,0.045,0.5
09일,25,58,0.006,0.048,0.041,0.5
10일,36,67,0.007,0.041,0.059,0.6
11일,32,55,0.006,0.045,0.053,0.6
12일,28,50,0.007,0.057,0.03,0.5
13일,33,58,0.005,0.044,0.041,0.5
14일,30,48,0.006,0.026,0.039,0.5
15일,23,36,0.005,0.028,0.04,0.5
16일,24,34,0.005,0.029,0.043,0.5
17일,18,32,0.005,0.034,0.033,0.5
18일,10,18,0.004,0.032,0.029,0.4
19일,14,24,0.004,0.027,0.025,0.4
20일,14,31,0.004,0.024,0.026,0.4
21일,12,36,0.004,0.03,0.036,0.5
22일,23,52,0.006,0.038,0.048,0.6
23일,42,81,0.007,0.046,0.06,0.7
24일,44,80,0.007,0.04,0.064,0.7
25일,36,62,0.006,0.053,0.05,0.6
26일,24,42,0.006,0.04,0.036,0.5
27일,17,24,0.004,0.038,0.025,0.4
28일,11,20,0.004,0.028,0.029,0.4
29일,18,37,0.006,0.029,0.046,0.5
30일,17,36,0.006,0.037,0.043,0.5
31일,16,29,0.005,0.047,0.034,0.5
31일,16,29,0.005,0.047,0.034,0.5
